KZ::aksu-zhabagly	Aksu-Zhabagly		OK	H	Hyphen added for standard park name formatting
KZ::aktau	Aktau		OK	H	Name already correct
KZ::almaty	Almaty		OK	H	Name already correct
KZ::altyn-emel	Altyn-Emel		OK	H	Hyphen added for standard park name formatting
KZ::astana	Astana		OK	H	Name already correct
KZ::boszhira	Boszhira		OK	H	Name already correct (geological formation)
KZ::burabay	Burabay		OK	H	Name already correct (national park)
KZ::charyncanyon	Charyn Canyon		OK	H	Space added between words
KZ::karaganda	Karaganda		?	M	Wikidata shows region not city - needs validation
KZ::kolsai	Kolsai		OK	H	Name already correct (lakes area)
KZ::mangystau	Mangystau		OK	H	Name already correct (region/peninsula)
KZ::shymkent	Shymkent		OK	H	Name already correct