NO::alesund	Ålesund		OK	H	Orthographe norvégienne standard
NO::alta	Alta		OK	H	Nom correct
NO::andalsnes	Åndalsnes		OK	H	Orthographe norvégienne standard
NO::bergen	Bergen		OK	H	Nom correct
NO::bodo	Bodø		OK	H	Orthographe norvégienne standard
NO::egersund	Egersund		OK	H	Nom correct
NO::flam	Flåm		OK	H	Orthographe norvégienne standard (village, pas gare)
NO::geiranger	Geiranger		OK	H	Nom correct
NO::hammerfest	Hammerfest		OK	H	Nom correct
NO::henningsvaer	Henningsvær		OK	H	Orthographe norvégienne standard
NO::honningsvag	Honningsvåg		OK	H	Orthographe norvégienne standard
NO::jorpeland	Jørpeland		OK	H	Orthographe norvégienne standard
NO::kristiansand	Kristiansand		OK	H	Nom correct
NO::kristiansund	Kristiansund		OK	H	Nom correct
NO::lyngen	Lyngen		OK	H	Nom correct
NO::lysebotn	Lysebotn		OK	H	Nom correct
NO::mandal	Mandal		OK	H	Nom correct
NO::narvik	Narvik		OK	H	Nom correct
NO::nusfjord	Nusfjord		OK	H	Nom correct
NO::oslo	Oslo		OK	H	Nom correct
NO::reine	Reine		OK	H	Nom correct
NO::senja	Senja		OK	H	Nom correct
NO::stavanger	Stavanger		OK	H	Nom correct
NO::svolvaer	Svolvær		OK	H	Orthographe norvégienne standard
NO::tromso	Tromsø		OK	H	Orthographe norvégienne standard
NO::trondheim	Trondheim		OK	H	Nom correct
NO::ulvik	Ulvik		OK	H	Nom correct